index,Sample,index_laser,index_sample,Spot Size (µm),Time (s),29Si,29Si 2sigma,31P,31P 2sigma,49Ti,49Ti 2sigma,89Y,89Y 2sigma,90Zr,90Zr 2sigma,91Zr,91Zr 2sigma,140Ce,140Ce 2sigma,146Nd,146Nd 2sigma,147Sm,147Sm 2sigma,151Eu,151Eu 2sigma,157Gd,157Gd 2sigma,159Tb,159Tb 2sigma,163Dy,163Dy 2sigma,165Ho,165Ho 2sigma,167Er,167Er 2sigma,169Tm,169Tm 2sigma,172Yb,172Yb 2sigma,175Lu,175Lu 2sigma,202Hg,202Hg 2sigma,204Pb,204Pb 2sigma,206Pb,206Pb 2sigma,207Pb,207Pb 2sigma,208Pb,208Pb 2sigma,232Th,232Th 2sigma,238U,238U 2sigma,206Pb/238U,206Pb/238U 2sigma,207Pb/206Pb,207Pb/206Pb 2sigma,207Pb/235U(calc),207Pb/235U(calc) 2sigma,208Pb/206Pb,208Pb/206Pb 2sigma,238U/206Pb,238U/206Pb 2sigma,Rho: 207/206 vs 238/206,206Pb/238U Age (Ma),206Pb/238U Age (Ma) 2sigma,207Pb/206Pb Age (Ma),207Pb/206Pb Age (Ma) 2sigma,207Pb/235U(calc) Age (Ma),207Pb/235U(calc) Age (Ma) 2sigma,238U/206Pb Age (Ma),238U/206Pb Age (Ma) 2sigma,Discordance (%),empty,238U/206Pb,238U/206Pb 2sigma,207Pb/206Pb,207Pb/206Pb 2sigma,Rho: 207/206 vs 238/206,C,O,207Pb/235U(calc) Age (Ma),206Pb/238U Age (Ma),Time (s)
1,Z_Plesovice,1,1,30,25,140098.2394,10038.21181,448.8563814,132.1729449,63.87086519,4.757699051,587.9964889,39.26701239,440152.9508,26597.43836,431400,24676.41845,2.804097942,0.185100719,3.745944341,0.294532322,5.497909776,0.447211991,1.360502459,0.116145755,19.89061095,1.504500968,6.444830597,0.438582634,66.36606532,4.697610685,17.36016654,1.318095464,61.6588865,5.000593659,9.631213028,0.710839341,65.52763994,4.307835424,9.04322695,0.612903016,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.720,0.744872523,179.2348804,11.85515493,10.52239412,0.713445719,3.708554019,0.252739544,123.6158727,5.896265651,887.337305,48.19394936,0.052222898,0.000541451,0.053534734,0.001394809,0.385050345,0.010094053,0.054990456,0.006186169,19.10685673,0.180433956,0.051310015,328.1535179,3.402318095,350.5193776,9.132532731,330.7473574,8.670505788,328.8539455,3.105503912,0.784235897,,19.10685673,0.180433956,0.053534734,0.001394809,0.051310015,,X,330.7473574,328.1535179,25
2,Z_Plesovice,2,2,30,25,141073.9424,10103.34158,492.4072779,145.0055598,66.33638125,4.903128947,616.7716679,41.37621325,438069.3706,26463.12973,431400,24676.41845,4.558994889,0.29013184,5.582191186,0.39424634,6.772371758,0.533147217,1.824967332,0.151825351,21.45567311,1.61294032,6.854769279,0.46861549,70.23912937,4.984556703,18.18608224,1.376787847,64.28453828,5.218320717,10.25042083,0.7542738,68.85348809,4.507701581,9.611275689,0.641915005,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.274,1.512702635,180.3233096,11.87324395,10.80947208,0.736887266,4.104473335,0.276393004,126.9530614,6.06825609,899.6225364,48.91387194,0.051863226,0.000537721,0.054658923,0.001472443,0.390542899,0.010587478,0.060489926,0.006797863,19.24722389,0.181368128,0.040958023,325.9496266,3.379467999,397.297177,10.70268567,334.7659969,9.075386579,326.5153836,3.076780533,2.633591936,,19.24722389,0.181368128,0.054658923,0.001472443,0.040958023,,,334.7659969,325.9496266,25
3,Z_Plesovice,3,3,16,25,157272.5419,11858.55347,637.2741815,194.9068853,80.28294098,6.702231592,563.1614757,38.14651523,442541.0616,26936.20568,431400,24676.41845,2.157952353,0.178028065,1.844575173,0.284789182,3.519770624,0.444731391,1.057450597,0.15089717,14.27465641,1.256470065,5.37582725,0.39583819,58.31722623,4.34022394,16.48555979,1.308640732,63.52484613,5.463835177,10.61123797,0.827222943,74.26126343,5.088884372,10.26159254,0.759352531,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.281,4.365558187,158.0944052,10.95289576,9.177277559,0.679644922,2.205683069,0.185601664,65.51526418,3.181534766,697.3300058,38.41933798,0.053813259,0.000914309,0.053042101,0.00196697,0.392432561,0.018955061,0.037153949,0.00451797,18.57135605,0.272843596,0.069155889,337.8894342,5.740878951,329.5854647,12.22207645,336.1449039,16.23628585,338.0919436,4.967123642,-0.518981648,,18.57135605,0.272843596,0.053042101,0.00196697,0.069155889,,,336.1449039,337.8894342,25
4,Z_Plesovice,4,4,16,25,161616.2911,12081.96747,473.1238723,149.6996614,68.75418504,6.198651875,489.001232,33.24970864,439744.3143,26949.95473,431400,24676.41845,1.995536248,0.170411173,2.308191585,0.971650818,3.150863224,0.451035793,0.904152126,0.263106918,12.77895311,1.206433454,4.534445635,0.354069075,51.75667239,3.881284635,14.33124908,1.177272133,52.78542337,4.654128573,9.216884783,0.756423893,64.16639602,4.663475406,9.559506213,0.709317468,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.380,3.939201732,141.9423396,9.653244347,8.429384757,0.610611653,1.984215047,0.163301189,55.48215659,2.722710476,623.318161,34.28494512,0.054141612,0.000932574,0.054146603,0.002090583,0.40388827,0.019860061,0.037152745,0.004596722,18.45060836,0.27521744,0.206493265,339.8977247,5.854645476,376.1476305,14.52293803,344.4644061,16.93806092,340.247163,5.075277258,1.325733892,,18.45060836,0.27521744,0.054146603,0.002090583,0.206493265,,,344.4644061,339.8977247,25
5,91500_30 µm - 1,5,5,30,25,127680.2322,7753.2853,<18.356,10.39415524,4.204317388,0.454790265,116.672258,11.59715712,437624.4432,43411.59082,431400,41183.65321,2.164510422,0.094404133,0.139389321,0.037176869,0.311093825,0.062446482,0.177165449,0.02913189,1.849469088,0.156737106,0.660748643,0.068974059,8.865951951,0.431481667,3.67745577,0.348413423,21.16760397,1.006407357,5.041462175,0.473009263,51.87232647,2.126155781,10.4275863,0.471351133,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.555,1.152170423,41.16771028,3.971469326,3.833519506,0.380749463,2.250886533,0.220907557,21.28765634,2.179020626,64.90283837,6.796633413,0.176572101,0.002216055,0.074903346,0.002494459,1.822428555,0.060211792,0.13305831,0.015166874,5.651460778,0.061074613,0.22420421,1048.2173,13.15557033,1065.011937,35.46742507,1053.559273,34.8088771,1050.26228,11.35004998,0.507040578,,5.651460778,0.061074613,0.074903346,0.002494459,0.22420421,,,1053.559273,1048.2173,25
6,91500_30 µm - 2,6,6,30,25,127554.3448,7672.278956,<15.943,10.02567645,4.15852898,0.474392026,117.6399576,11.67068644,435192.2717,43105.82445,431400,41184.52,2.191927942,0.09618512,0.116017415,0.032852478,0.292275708,0.060222605,0.193582392,0.030999769,1.977597336,0.165254578,0.642702406,0.066013106,9.00921814,0.437029189,3.775493812,0.350456026,21.07990591,0.981048118,5.045992855,0.470027119,52.38447892,2.118487825,10.59048249,0.474110252,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.560,1.000641408,42.02243538,4.041226759,3.971739006,0.393051363,2.280545277,0.225285197,21.52788342,2.203163435,65.54653764,6.868044002,0.178764818,0.002091206,0.076019907,0.002530941,1.870881883,0.062592098,0.132061854,0.015141881,5.586803745,0.059482023,0.158059836,1060.219935,12.4025416,1094.70165,36.4460521,1070.842674,35.82604002,1061.4689,11.30133088,0.991998152,,5.586803745,0.059482023,0.076019907,0.002530941,0.158059836,,,1070.842674,1060.219935,25
7,91500_16 µm - 1,7,7,16,25,128891.1377,9023.94799,<51.652,10.73213125,4.653082058,0.988158404,163.3491444,16.90152242,436660.9344,44244.53418,431400,41184.52,2.595928315,0.174583912,0.234729117,0.098572288,0.53386148,0.146307113,0.284153288,0.069283667,2.848153213,0.349632913,0.942278983,0.114440547,12.3926226,1.087910744,5.033549382,0.51897018,29.88055286,1.829497746,6.727580666,0.700048327,70.48372045,3.779728873,14.78036735,0.885963181,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<6.560,3.822444499,48.05444886,4.867087281,4.56438022,0.512191747,2.756595469,0.289699642,26.5260824,2.802625958,71.80976942,7.781605211,0.178310387,0.003387734,0.076504982,0.003708332,1.885224405,0.112743466,0.139754361,0.016430615,5.604177251,0.096992432,0.036044667,1057.734275,20.09597946,1107.424043,53.67880173,1075.902757,64.34300617,1058.43417,18.31849703,1.688673218,,5.604177251,0.096992432,0.076504982,0.003708332,0.036044667,,,1075.902757,1057.734275,25
8,91500_16 µm - 2,8,8,16,25,130612.8545,8975.971073,<52.164,22.15063749,4.573653622,1.057826492,177.0076266,18.32909442,435726.4504,44165.88631,431400,41183.65321,1.813511737,0.140789563,0.313781924,0.10299924,0.622083443,0.161214264,0.380966208,0.084016489,3.006354085,0.361359613,1.068993399,0.126985174,13.74375389,1.025334136,5.755420495,0.584908774,32.25034469,2.034503472,7.366518961,0.750105232,73.27969364,3.876764448,15.07479091,0.884922828,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<7.160,2.816769571,38.73738378,3.9217398,3.510654429,0.383971007,2.288094861,0.243873701,21.36217253,2.259086149,57.81096047,6.273464609,0.178628578,0.003722183,0.073002982,0.003707766,1.796320131,0.105286028,0.143941056,0.017144239,5.600671207,0.102199356,0.135987316,1059.474827,22.0768677,1013.131211,51.45616186,1044.122922,61.19819825,1059.045189,19.32513657,-1.470315936,,5.600671207,0.102199356,0.073002982,0.003707766,0.135987316,,,1044.122922,1059.474827,25
9,Z_GJ1,9,9,30,25,137600.4565,9807.852429,<12.812,10.24115158,2.737902632,0.404817271,199.323464,13.31669785,439132.2108,26634.25569,431400,24689.38289,12.91629872,0.770160886,0.416085046,0.064076123,0.923315442,0.121399383,0.714329735,0.068388288,5.040162001,0.437898658,1.412081672,0.104962785,15.67329106,1.1678902,5.266154571,0.417184897,25.1538032,2.113603714,5.136160523,0.386146699,48.60891725,3.199710301,10.38105737,0.691091477,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.487,1.025501272,96.50656848,6.338093957,6.419292756,0.43997659,0.393039503,0.033764651,7.430111883,0.365497641,256.1070302,13.95336965,0.097365473,0.000872554,0.06065268,0.001316544,0.813941801,0.017848043,0.010830409,0.001198687,10.24755617,0.080474806,0.081016149,598.9492034,5.367566544,625.9773677,13.58763549,604.6629964,13.25899626,600.2342181,4.713683112,0.944954964,,10.24755617,0.080474806,0.06065268,0.001316544,0.081016149,,,604.6629964,598.9492034,25
10,Z_GJ1,10,10,30,25,138428.1721,9892.196661,17.35966762,11.29784517,3.089505743,0.428288649,200.5938132,13.42127711,440472.5269,26703.51546,431400,24689.38289,12.98329492,0.786439759,0.413851832,0.070239783,1.061535777,0.128790023,0.739482259,0.071406109,5.149018324,0.427835235,1.434286508,0.106148728,15.44622345,1.137126308,5.146276036,0.403660568,24.67095466,2.051719822,5.048773123,0.383205376,49.17602728,3.274141723,10.35115711,0.689304839,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.341,0.89552956,96.69628209,6.407016663,6.467487886,0.440303998,0.401168068,0.032980745,7.381249046,0.35800124,255.9628015,13.8849486,0.097688533,0.000875449,0.060973447,0.001323506,0.820428955,0.017990293,0.011028648,0.001220628,10.21605659,0.080227438,-0.150986248,600.8467166,5.384571373,637.3372059,13.83421524,608.2878077,13.3384808,602.0011537,4.727558986,1.2232846,,10.21605659,0.080227438,0.060973447,0.001323506,-0.150986248,,,608.2878077,600.8467166,25
11,Z_GJ1,11,11,16,25,155765.8484,11610.6235,<60.618,41.70274969,3.153520751,0.874335879,195.6227379,13.45319086,441764.9813,26836.23623,431400,24689.38289,13.16432464,0.856396,0.452912922,0.126242329,1.191982499,0.231173981,0.727907824,0.106563069,5.094413775,0.60768001,1.521973028,0.140455423,15.93798636,1.387733308,5.103240675,0.461690012,23.38505715,2.157960363,4.924907741,0.417550912,46.26352579,3.299492042,9.862141086,0.714206691,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.336,3.952997403,104.0003279,7.013015148,7.201126774,0.544937326,0.443493463,0.051729794,7.525023967,0.388733762,253.6281072,13.84149988,0.097383824,0.0014325,0.063107443,0.002514364,0.849736168,0.031879497,0.011332015,0.001254204,10.25673774,0.127620138,0.195555923,599.0570048,8.812030904,710.9047435,28.32428924,624.504345,23.4294895,599.7211398,7.46206994,4.074805941,,10.25673774,0.127620138,0.063107443,0.002514364,0.195555923,,,624.504345,599.0570048,25
12,Z_GJ1,12,12,16,25,157293.6842,11684.51853,<64.669,667.6579645,1.899146895,0.923410904,202.0990085,13.75825136,441657.2017,26815.66231,431400,24689.38289,13.47028072,0.850792788,0.513031423,0.137021214,1.311969025,0.247758661,0.775719098,0.112330961,5.490403296,0.634896271,1.471959842,0.141307638,15.6302886,1.374350115,5.285504614,0.462564352,24.71360107,2.350456522,5.078643689,0.444169472,47.86893288,3.519469062,10.10055726,0.747996395,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.701,3.67428379,106.3654675,7.220044316,6.936455858,0.523718681,0.482410405,0.056806264,7.787285729,0.406771031,256.5915137,14.04191238,0.098510167,0.001449068,0.059430134,0.001290007,0.809092919,0.030354687,0.012050989,0.001333779,10.134778,0.126102646,0.164308546,605.6701208,8.909308763,581.9201274,12.63131702,601.945122,22.58313658,606.6088446,7.547770663,-0.618826975,,10.134778,0.126102646,0.059430134,0.001290007,0.164308546,,,601.945122,605.6701208,25
13,G_GSD_1G,13,13,30,25,256107.6888,31956.58312,988.3925083,307.3966385,7337.186273,909.2362255,39.94051531,4.90139262,41.34154538,4.968172873,42,5.109710702,40.10849651,4.773616251,43.00747123,5.109334386,47.08568224,5.928545805,40.30408318,5.03154227,48.63467687,6.093822268,45.59370993,5.559263695,49.81513027,6.175359905,47.70705748,6.011867569,38.5286276,5.136943732,48.70688778,6.081530952,49.77394086,6.040016451,49.80037399,6.002888485,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,47.62113634,6.160155317,53.22839713,6.422994635,47.57726149,5.76092553,49.27801969,5.922520752,40.31274916,4.518133257,40.23247348,4.639838084,0.342291217,0.00469069,0.814513326,0.020559057,38.40896914,0.974703215,2.459822777,0.274469353,2.920591899,0.03568202,0.276665148,1897.676758,26.00538113,4946.695926,124.8591023,3730.511197,94.66906665,1898.181633,23.1908316,49.13091912,,2.920591899,0.03568202,0.814513326,0.020559057,0.276665148,,,3730.511197,1897.676758,25
14,G_GSD_1G,14,14,16,25,289904.6675,44357.08841,1114.170174,365.3294079,7578.059391,1137.864199,39.53303771,6.024125134,40.61816403,6.302191325,42,6.345122745,42.19177605,6.558357393,43.38330604,6.202792965,46.1514221,6.874277568,39.97947371,5.741078854,47.13834242,6.837658696,45.29328721,6.243817016,48.48231436,6.998683653,47.5643502,6.771314371,38.54918256,5.819903993,47.29797535,6.641908685,49.97460849,7.061159201,48.13531075,6.598418476,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,40.65574595,9.304716541,59.06919099,8.073273838,53.47020166,7.334788096,54.8377842,7.598220256,43.42000758,5.648948648,43.66038164,6.071043934,0.320072818,0.008383408,0.824938465,0.025702714,36.35702958,1.563873145,2.467193639,0.277835923,3.143289718,0.078530546,0.418350069,1790.079235,46.88609729,4964.781995,154.6883546,3676.21629,158.1299682,1780.624037,44.48631555,51.30647673,,3.143289718,0.078530546,0.824938465,0.025702714,0.418350069,,,3676.21629,1790.079235,25
15,G_NIST610_Jochum,15,15,30,25,319096.7355,25779.35479,420.2998933,123.9465091,452.3368596,35.97723275,467.0647216,36.10446063,448.1392758,32.17797667,448,31.17691454,452.9213056,31.84539759,430.5421306,30.4071303,452.5495821,35.39821034,448.7213422,36.27257303,452.4732315,36.96786524,436.6511051,33.83328934,439.5501665,34.88114268,450.9325429,37.93476801,453.9527555,40.34395457,438.3633756,35.80192605,444.558774,33.29299246,442.151429,33.46381189,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,424.5809347,30.0772765,414.925018,31.58838468,418.7559921,32.11974974,418.3551957,31.57055779,456.5552052,28.18711162,453.0383728,30.40898909,0.236523348,0.00314099,0.920016458,0.020763269,29.97485298,0.734144873,2.68132577,0.298298561,4.226685898,0.053289331,0.012528301,1368.593287,18.1746896,5119.322326,115.5347429,3485.988898,85.37893008,1368.951096,17.25950071,60.74017082,,4.226685898,0.053289331,0.920016458,0.020763269,0.012528301,,,3485.988898,1368.593287,25
16,G_NIST610_Jochum,16,16,16,25,331583.0547,26788.10611,398.4547797,117.5043814,460.9956141,36.66591867,464.3080187,35.89136539,446.4502769,32.0567006,448,31.17691454,456.3119855,32.08380004,430.0307207,30.37101186,451.4018641,35.30843639,443.734302,35.86944359,446.4973422,36.47962449,428.018929,33.16443746,430.6983181,34.17869138,436.1384336,36.69021134,442.0993297,39.29050999,429.7746608,35.10047024,446.399942,33.43087747,430.1468313,32.55525529,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,419.5366158,29.71993739,428.3233129,32.60840148,435.9823521,33.44105949,434.285406,32.77270761,448.4938911,27.6894168,463.4770383,31.1096566,0.21753593,0.004794176,0.928002221,0.02208001,27.82456827,1.122538039,2.696774532,0.300486451,4.598027409,0.092652652,0.017125844,1268.837894,27.96334607,5131.522847,122.0946177,3412.934521,137.6894257,1268.56594,25.56226564,62.82267104,,4.598027409,0.092652652,0.928002221,0.02208001,0.017125844,,,3412.934521,1268.837894,25
17,Z_Plesovice,32,28,30,25,139456.595,9980.861576,444.9877113,131.0120748,64.88991356,4.869671424,560.9188163,37.57121386,440931.8302,26566.54168,431400,24676.41845,2.68491094,0.175133391,3.324326222,0.257043717,5.414192422,0.435064057,1.27621624,0.10946358,18.22587108,1.363847995,6.070412871,0.413329646,62.84393376,4.419704953,16.41246192,1.245468124,57.8639569,4.690052635,9.382277431,0.697339569,62.94781271,4.116738622,8.744579603,0.584728624,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.288,0.880934398,169.6626784,11.1548488,9.973852302,0.682178304,3.504423841,0.234545603,115.9630153,5.529147135,840.9827698,45.67607572,0.05215732,0.000540771,0.053559019,0.001462171,0.385517913,0.010506461,0.054947378,0.006183157,19.1352674,0.180313153,0.006414096,327.7517468,3.398152505,351.5443597,9.597222066,331.0900746,9.02314761,328.3779139,3.094331305,1.008283845,,19.1352674,0.180313153,0.053559019,0.001462171,0.006414096,,,331.0900746,327.7517468,25
18,Z_Plesovice,33,29,30,25,140211.6231,10004.49838,480.099887,141.0754813,63.72620733,4.818466827,607.1549013,40.69240844,440065.735,26440.39483,431400,24676.41845,3.657715434,0.233671239,5.056778278,0.359619953,6.307209294,0.526572455,1.581083424,0.132398622,19.74800747,1.473373469,6.570008371,0.45190084,66.62810372,4.730878417,17.5975002,1.327228895,63.13940545,5.120400734,10.08041937,0.747303868,68.8610298,4.541534342,9.799995124,0.662367539,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<1.418,0.717234905,172.1752307,11.2772052,10.12811084,0.696079613,3.761046534,0.248972194,122.5048026,5.85306475,859.4696114,46.66826684,0.051841254,0.000537494,0.053597675,0.001484176,0.383434064,0.010705779,0.058123117,0.006535375,19.25443459,0.181436075,0.139337446,325.8149684,3.378071854,353.1745358,9.779775888,329.5617669,9.201621922,326.396149,3.075656976,1.136903267,,19.25443459,0.181436075,0.053597675,0.001484176,0.139337446,,,329.5617669,325.8149684,25
19,Z_Plesovice,34,30,16,25,154968.988,11564.98914,571.1047044,172.1573853,67.24327843,5.904423439,448.7243574,31.99995477,442819.3278,27126.28234,431400,24676.41845,1.657350001,0.154090268,1.427773801,0.27043959,2.78164535,0.377298303,0.66867586,0.118143234,11.57120579,1.118725482,4.059407713,0.339120509,46.21052532,3.653717156,12.99816953,1.140237995,49.63563579,4.32082531,8.17065551,0.693124901,60.30529597,4.457677694,8.576363625,0.641213894,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,<5.441,3.423643795,130.5964382,8.618545088,7.84235631,0.577454654,1.759484374,0.141457049,51.30724395,2.780712613,562.9337091,31.53971632,0.055146737,0.000950124,0.054728195,0.002251341,0.417974951,0.021403097,0.035867523,0.004357994,18.1235711,0.270714767,0.349944677,346.0414427,5.961952122,400.1356522,16.46028961,354.602033,18.15798204,346.2248856,5.171618148,2.414140216,,18.1235711,0.270714767,0.054728195,0.002251341,0.349944677,,,354.602033,346.0414427,25
20,Z_Plesovice,35,31,16,25,159801.1537,12174.87422,1056.896773,340.7333454,80.45768171,6.856828537,629.4147847,47.78054782,448146.3784,27574.73204,431400,24676.41845,9.861332241,1.938699276,10.84730827,2.401570603,7.519449948,1.428947694,2.405163869,0.4539464,21.09824284,2.530640914,6.551911479,0.619987024,70.7596917,6.375187921,18.94731534,1.729584097,69.82469977,6.360423551,12.03066428,1.044248085,81.52444604,6.113981632,11.90330032,0.97160006,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,ERROR: Error (#1003): Calibration RM composition does not contain analyte element,57.45931704,18.1033197,227.3096551,26.8922302,71.92864428,17.76226547,71.44288347,18.65971022,82.53692016,6.385485116,760.9999161,48.14032269,0.070012737,0.004343685,0.290216328,0.052174668,2.767342423,0.611352915,0.841203298,0.201023064,15.06876802,0.809197115,-0.948493258,436.2310553,27.06436614,3418.076117,614.4967411,1346.773633,297.5251559,414.2018114,22.24275472,67.60917763,,15.06876802,0.809197115,0.290216328,0.052174668,-0.948493258,,,1346.773633,436.2310553,25
